"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TTC39A",-1.06609689053452,7.72076422092822,-4.70613751966501,3.1538275832583e-06,1.36883676562015e-05,3.52943376657675
"HAVCR1",-1.27326741322241,3.68460751466496,-4.66889954849553,3.75811326644591e-06,1.6137380659998e-05,3.36167281134028
"SATB2",-1.45350072571788,9.0120980905812,-4.65246525572376,4.05887073382591e-06,1.7324388927219e-05,3.28802789025015
"TPSB2",-1.23740043075991,7.28185895353333,-4.6475816617825,4.15261292509451e-06,1.7682120440513e-05,3.26619011907075
"EHF",-1.16979570623313,7.55058108284786,-4.62889652585228,4.53085301752531e-06,1.91590612359912e-05,3.18283320704144
"INSM1",-1.13437857897285,3.74254114782735,-4.62808398510114,4.54803016375743e-06,1.92240871432255e-05,3.17921543064865
"DUSP1",-1.04862155879644,10.2605896364735,-4.61546993916647,4.82284906797003e-06,2.02614659920007e-05,3.12312804206982
"RNF186",-1.29670747332173,7.52748624761026,-4.60612202142786,5.03672423017619e-06,2.10812314644808e-05,3.08165503593035
"BEX4",-1.2170317915636,5.6934970007094,-4.59100083084257,5.40209290539562e-06,2.25002961227267e-05,3.01473383873733
"TPSAB1",-1.22650505349526,7.31102623279146,-4.56313184779321,6.1431704665819e-06,2.53302052025194e-05,2.89193173286314
"CCL19",-1.25206920591529,5.75024226639828,-4.55787249297531,6.2935577193418e-06,2.58903442027679e-05,2.86883494179946
"IGF1",-1.18639336861838,4.37867733357607,-4.53861071183342,6.87505889773233e-06,2.80985813825261e-05,2.78445741653409
"CXCL13",-1.9227440517494,5.43615841086837,-4.42365645080179,1.15729340452046e-05,4.56992943529638e-05,2.28782637096469
"PPP1R14C",-1.34913319998233,6.91411030038462,-4.39731974925805,1.30185462911578e-05,5.0965056541438e-05,2.17572166576077
"CHGB",-1.08146378670021,4.39218321558803,-4.35287275610399,1.58577894957362e-05,6.10290684717931e-05,1.98795008336542
"ADAM28",-1.03116291653655,5.56788377343418,-4.32732840746544,1.7747957533827e-05,6.76575572926462e-05,1.8808438286025
"GPR34",-1.06080009927738,5.37364574228034,-4.28088123513905,2.17492593729959e-05,8.16437851410406e-05,1.68760840927342
"SLITRK6",-1.47021811595668,4.4864030895265,-4.25829014674767,2.39936602366292e-05,8.94872644922423e-05,1.59432990112154
"CPA3",-1.36283590529766,6.50409878783077,-4.25172910110219,2.46858303617548e-05,9.18603513304799e-05,1.56732626893751
