"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLIC5",-2.60327630366011,7.7015008514889,-9.17980967790573,7.36315035581806e-19,1.6526095971929e-17,31.9373468859607
"SELENBP1",-2.82681448513567,9.34766871466495,-9.16641823628511,8.20822904463655e-19,1.83649455493978e-17,31.8302969117345
"SRI",-1.83866660127162,6.82984190283761,-9.15913739291334,8.70729156276801e-19,1.93800727939234e-17,31.7721435465235
"MCU",-1.1177802068224,7.95985816733847,-9.15238445694552,9.19697214783915e-19,2.04274120460373e-17,31.7182375728479
"INPP5A",-1.26962041911009,6.0068261522906,-9.14307402885314,9.91710445166213e-19,2.19130062894172e-17,31.6439649709445
"SOCS6",-1.56214604480101,5.74649706062393,-9.10284926909938,1.37263750295022e-18,2.99057269195374e-17,31.3237290586112
"H3C10",-1.84448072741676,4.50261224076923,-9.10281389141091,1.37302934937362e-18,2.99057269195374e-17,31.3234478773156
"LEAP2",-1.43161814619351,5.35324351479487,-9.09440204408365,1.46941408154388e-18,3.19186398028639e-17,31.2566139477264
"MT1HL1",-1.92120612843342,9.95861414774873,-9.09435871257989,1.46992753152142e-18,3.19186398028639e-17,31.2562697897956
"TLCD4",-2.0948091272866,6.7582130994188,-9.08395242116579,1.5985221221621e-18,3.45704677978113e-17,31.1736541117622
"MT1H",-2.2069283100186,9.19067389083761,-9.08289694123371,1.61217136058118e-18,3.4830399859998e-17,31.1652786144109
"NAT1",-1.81762611716041,7.69768620553504,-9.06695224030446,1.832968143125e-18,3.93618395117105e-17,31.0388424735967
"ADCY9",-1.22924885327236,7.27118826466838,-9.05667426441339,1.99089999888851e-18,4.2624809896043e-17,30.9574301810905
"FFAR4",-2.49557521213903,4.66380867357778,-9.04482101293148,2.18982017051588e-18,4.67898875834128e-17,30.863626413911
"MBNL1",-1.4185804031961,5.65180419236069,-9.03213848940425,2.42447155707399e-18,5.16487375473579e-17,30.7633625274616
"HEPACAM2",-4.52386770194637,6.02721775936923,-9.01308079660305,2.8246379872644e-18,5.9875039557419e-17,30.612898225261
"MAPK6",-1.18936931125898,9.20199552258803,-9.00861083279183,2.9275831841741e-18,6.19343266299485e-17,30.5776417043032
"ARF6",-1.24906560028072,8.4937748498188,-8.99377987789242,3.29648036360478e-18,6.9600687677019e-17,30.4607582676488
"NXPE4",-3.53846174618711,6.85189397193334,-8.98979164172821,3.40329793271866e-18,7.17142671877707e-17,30.4293516334477
"ADIPOQ",-1.87882693321899,3.16804860749914,-8.9833473811876,3.58318029096182e-18,7.51931070348004e-17,30.3786265194353
"SCP2",-1.11667475879896,9.91406728923761,-8.97626805072861,3.79164931743977e-18,7.94276185938583e-17,30.3229342630069
"PLAC8",-3.84549479777788,9.22424431814187,-8.9692577987262,4.00990423391005e-18,8.34270922745433e-17,30.2678181874561
"MGLL",-1.48913602853441,9.33045853587864,-8.96897422951317,4.01898970627525e-18,8.35347792353922e-17,30.2655893927318
"LGALS4",-1.72773354890701,12.0108662372068,-8.96860925801932,4.03071327546318e-18,8.36157772396328e-17,30.2627208716324
"GPA33",-2.44684422598576,9.57208257362564,-8.96170141827013,4.25909897882186e-18,8.7926732251678e-17,30.2084448541531
"EMP1",-1.29048989748959,4.07591746808205,-8.95687731599716,4.4261417439982e-18,9.11990073712724e-17,30.1705598885938
