"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"POLN",0.0493912547865878,4.90660741642736,0.899784936401056,0.36860461807307,0.461230667273793,-6.90662871055327
"DYDC2",0.0495476888825542,3.16152440933675,0.89964799475144,0.368677451897783,0.461294789172567,-6.90675141823429
"APBB1",0.0707672565458428,4.88857193556582,0.899545909830445,0.368731752652954,0.461335716063689,-6.90684288014236
"FLVCR2",-0.0481021787639907,4.42902880811624,-0.899237596082889,0.368895780410858,0.461508595367829,-6.90711904775816
"MAP3K15",-0.0464139149852166,3.30923507434359,-0.899204993539767,0.368913128136028,0.461508595367829,-6.90714824549896
"TRIM7",0.0754758071526873,3.88641576625641,0.898546829697497,0.369263444135795,0.461897213511896,-6.90773744912573
"LENG8",-0.143085609933704,6.3217787856359,-0.898540132382391,0.36926700993168,0.461897213511896,-6.9077434425072
"TCEANC",-0.0835137284970248,4.0938550036188,-0.897927506733458,0.369593275902548,0.46227165395748,-6.90829148860051
"PPP4R1L",0.0400395078880403,3.50942056858462,0.897881317014736,0.369617882436466,0.46227165395748,-6.90833279414698
"SLPI",-0.249212789769215,8.88144122499659,-0.897856199735104,0.369631263530844,0.46227165395748,-6.90835525459717
"PCDHB5",0.0818480491376257,3.15746241290427,0.89778925297259,0.369666930529723,0.46228920195649,-6.90841511687405
"SSBP3-AS1",-0.0731005013241573,4.33262121062394,-0.897436668529171,0.369854811132035,0.462497088398092,-6.90873031643147
"MYT1",0.0581053726536146,4.40714917334701,0.897080120179539,0.370044864454532,0.462691694637638,-6.90904893403857
"CACNA1E",0.0543059115680659,3.59982727445641,0.897060388379738,0.370055384002219,0.462691694637638,-6.90906656302001
"FBLN5",-0.170302389717777,6.4933457876923,-0.89702284571344,0.370075399511267,0.462691694637638,-6.90910010369548
"PPA2",-0.070849986990422,4.05636953280341,-0.896631634384465,0.370284010164944,0.46290328304685,-6.90944952919958
"IGSF11-AS1",-0.0288125329785173,2.41905864848035,-0.896624222148169,0.370287963393867,0.46290328304685,-6.90945614825737
"CYBA",-0.141005124924024,10.576178039706,-0.896280010389271,0.370471573629455,0.463105722444309,-6.90976346603661
"CTNS",0.0991313657155471,6.08293699052137,0.895881741971217,0.370684089616014,0.463344269499554,-6.91011889962002
"TDRD1",0.0662198832447465,2.93487423862564,0.895600790494653,0.370834050930548,0.463504601710033,-6.91036953924733
"VNN2",-0.124402436434909,4.51472352778804,-0.895044587493408,0.371131042483264,0.463848677160734,-6.91086550228448
"ZNF347",0.0375402807652952,2.71615357757265,0.89473729897773,0.371295186475932,0.464026685935032,-6.91113937792727
"TMEM143",0.036724804522317,4.53099330925128,0.894577342592949,0.371380648083762,0.464106346216268,-6.91128190441359
"EXO5",0.0688079421659858,3.23088902403761,0.894244169950784,0.371558695072352,0.464301692356919,-6.91157869078448
"HPCA",-0.0579897910358029,5.46961759975898,-0.894120261629965,0.371624925043256,0.464357296690015,-6.91168903877028
"RSU1",0.0370122564774944,3.20743833231795,0.893933222374987,0.371724912897491,0.464455073614449,-6.91185557985589
"SLC36A4",0.0748247287776633,2.82773080070086,0.893452623282312,0.371981909311132,0.46474900340609,-6.91228334936659
"GSDMC",0.047749858632976,4.87548780883931,0.892892384766485,0.37228163162554,0.465096276848676,-6.91278171439753
"SEMA6C",0.060361468178167,5.93864175544787,0.892759636491569,0.372352672684559,0.465157831925338,-6.91289975609174
"PBOV1",-0.0465972380195286,2.94975451928547,-0.892711218874755,0.372378585767422,0.465163007430137,-6.9129428053837
"LINC01838",0.0525587722270807,4.01362065681196,0.892525375457959,0.372478059469584,0.46521294281252,-6.91310802170826
"SMTNL1",0.0506009574274676,4.81374337926496,0.892516477997659,0.372482822297788,0.46521294281252,-6.91311593076301
"CEACAM6",-0.262629337991364,11.9884672232291,-0.892514505459672,0.372483878206421,0.46521294281252,-6.91311768416413
"LINC01692",0.0242096341309294,2.38522187184786,0.892375129954601,0.372558491261365,0.465278934057021,-6.91324156611799
"FEZF2",0.0297490403871109,2.6325770557641,0.892062387165806,0.37272594826205,0.465460861280843,-6.9135194729188
"TEC",-0.0543476660393343,4.66381958151623,-0.891275290828538,0.373147603003091,0.465960191301914,-6.91421846576547
"CCDC150",-0.065828485549192,4.17026207242905,-0.891106155633348,0.373238248921089,0.466046146838295,-6.91436858852206
"IL1R1",-0.185212774205136,7.59039251489232,-0.890945556248567,0.373324332827466,0.466126396279113,-6.91451110867736
"CES5A",0.038125706423377,3.02101256577436,0.890894898335833,0.373351488856708,0.46613306429831,-6.91455605853839
"RFPL3S",0.0490132664561109,3.55063073537778,0.890664229797157,0.373475158122022,0.466260222237408,-6.91476070349165
"NAALAD2",-0.0225327913746531,2.37887329461197,-0.890587156475317,0.373516485422366,0.466284572564834,-6.91482906976866
"RHOF",0.0665090716158607,4.75871277781709,0.890527863932425,0.373548280465358,0.466290612259171,-6.91488165996238
"TFAP2E",-0.0542865641225588,4.88576441239999,-0.890496743103685,0.373564969375789,0.466290612259171,-6.91490926153721
"FSIP2-AS2",0.0735089479802842,2.69989563808547,0.88981968214916,0.37392816579789,0.466716695987121,-6.91550951990769
"OR10D3",-0.0492961941514795,4.43774655113675,-0.889748927619729,0.373966133351184,0.466736820754366,-6.91557222210142
"HERC5",-0.195314126007534,5.35979871439316,-0.889502747650733,0.374098254496348,0.466874446809384,-6.91579034640522
"ZNF610",0.0958270559206767,3.39392549671624,0.889284436175617,0.374215443248932,0.46699342225791,-6.91598372786107
"VWA8-AS1",-0.0294102940092074,2.59227938906838,-0.889032833995588,0.374350530555158,0.467134718587401,-6.91620653968113
"AMER1",0.0563471153667461,4.01922178701026,0.888841851779484,0.374453090680675,0.467235411619597,-6.91637562618627
"EVC",0.0625106634385359,5.40825054662735,0.888656652307097,0.374552562026317,0.467318213153717,-6.9165395583273
"LCK",-0.182172868660965,5.96125356246154,-0.8886368632628,0.374563191766301,0.467318213153717,-6.91655707288742
"GLIS1",-0.0645571145687191,4.62645811175556,-0.888516070015591,0.374628080248139,0.467371880111052,-6.91666397414379
"ZNF331",0.202880410400403,6.3472729902718,0.888217732408295,0.374788372987401,0.467544556610334,-6.91692793893014
"LINC00515",-0.0382275288960394,2.95161172117607,-0.88784653053579,0.374987874038023,0.467766122048598,-6.91725624952937
"H2AJ",-0.176076616484466,5.17860273717778,-0.887640458310053,0.375098655178287,0.467876997384381,-6.91743845164147
"FTX",0.194709407263259,6.10564467098461,0.887535265224025,0.375155213118538,0.467920228749273,-6.91753144355897
"ITIH4",0.0992009505493719,5.30701071807179,0.887314254232748,0.375274058730063,0.468041140140396,-6.91772678405312
"TRIM63",-0.0483186057544201,3.60960262748376,-0.887149218830978,0.375362819447275,0.468124517780303,-6.91787261889855
"GRIK1-AS2",-0.0538381611438559,3.4758904436,-0.887105926855055,0.375386105251666,0.46812623502465,-6.91791086971825
"ACSL3",-0.130751623635571,8.32155909461026,-0.886789848805474,0.375556143812016,0.468310949800487,-6.91819008548469
"UFSP2",0.0817996009923674,7.1746837262359,0.886515332708992,0.375703862236609,0.468467811881981,-6.91843250589899
"SNX27",0.101825150030592,7.10958449098462,0.886388885890299,0.375771915973637,0.468525326988896,-6.91854414371625
"FCRL3",-0.0459456459346305,3.36476663281368,-0.886174606021896,0.375887258921463,0.4686417937551,-6.91873329162828
"LOC105369308",-0.0458996743620996,4.86274256755556,-0.886079017235405,0.375938719690948,0.468678605731752,-6.91881765450999
"CNN1",-0.303368342654707,7.25921922335727,-0.885982889821349,0.375990474831054,0.468715780380113,-6.9189024836102
"HOMER2",-0.103327330699557,2.66301348196239,-0.88580530757633,0.376086096968651,0.468807632806088,-6.9190591696262
"GSC",-0.0561048024628977,3.77517927979658,-0.885659963559451,0.376164371090291,0.468877850722567,-6.91918738759882
"FBXO4",-0.0368816428476866,2.70068442652821,-0.885607935241996,0.376192393069019,0.468885426279282,-6.91923328026268
"CEP295",-0.0651912040889048,4.8587468194906,-0.88548727965345,0.376257382042909,0.468939073851542,-6.9193396966964
"GAGE7",0.112761773054863,3.05851243113333,0.885401826503735,0.37630341405497,0.468969090003649,-6.91941505635557
"BEND6",-0.0338170599518319,2.67332868422564,-0.885294103638155,0.376361447310619,0.46901405836265,-6.91951004495803
"LINC00944",0.0678102493562379,3.62666306234701,0.885033770735524,0.376501718627924,0.469161498916595,-6.9197395554911
"LINC01465",0.0341623486644028,2.72648336256068,0.884859350604544,0.376595716929857,0.469251264499665,-6.91989328731851
"SLC7A5P1",-0.0740893670957815,6.42005905317607,-0.884696685896895,0.376683393091807,0.469333142468519,-6.9200366308233
"TESK1",-0.0716462768912985,7.3139594088359,-0.884555887270737,0.376759293643139,0.469400339782679,-6.92016068426418
"LINC02743",-0.0456683601644982,3.15920383319487,-0.884298300571836,0.376898175813228,0.469541284803498,-6.92038758520226
"TM4SF5",-0.165975197982886,7.03307257889402,-0.884264556509399,0.376916371832714,0.469541284803498,-6.92041730452312
"PCF11",-0.105048167530498,6.68841569697949,-0.884067910853235,0.377022421091485,0.46964601361055,-6.92059047324253
"TOP6BL",-0.0912818737972013,5.84012207758119,-0.883694730839656,0.377223724478487,0.469869378624917,-6.9209189947973
